(таблица большая, поэтому она была разделена по подпунктам)

Напиши SQL запрос для переноса этих жанных в таблицу, который сделает года строками а категории столбцами

№	Наименование показателя	Единица измерения	 2010г.	2011г.	2012г.	2013г.	2014г.	2015г.	2016г.	2017г.	2018г.	2019г.	2020г.	2021г.	2022г. 6)	2023г. 6)	2024г. 6)	2025г. 6)
1. Факторы развития информационного общества																		
1.1 Человеческий капитал																		
Ценовая доступность услуг ИКТ																		
Средние потребительские тарифы 																		
1.3.13	Тариф на предоставление абоненту в постоянное пользование абонентской линии независимо от ее типа, месяц	рублей	150,78	165,28	176,15	186,25	187,98	187,41	190,63	190,48	190,55	196,83	197,17	199,81	211,47	216,18		
1.3.14	Абонентская плата за доступ к сети Интернет, месяц 	рублей	599,37	555,57	537,10	538,67	565,44	571,11	559,44	571,48	563,68	554,08	552,88	571,41	585,02	608,17		
1.3.15	Предоставление местного соединения (разговора) по сотовой связи, минута 	рублей	2,25	1,60	1,42	1,27	1,16	1,12	1,17	1,39	1,58	1,98	…	…	…	…		
1.3.16	Абонентская плата за пакет услуг сотовой связи, месяц	рублей	…	…	…	…	…	…	…	…	270,19	345,58	388,86	405,22	478,23	543,51		
1.3.17	Тариф за одну минуту местного телефонного соединения при повременной системе оплаты, минута 	рублей	0,32	0,37	0,40	0,44	0,46	0,50	0,54	0,57	0,58	0,60	0,59	0,60	0,63	0,65		
Средние  тарифы на услуги связи для юридических лиц																		
1.3.18	Плата за предоставление доступа к сети местной телефонной связи независимо от типа абонентской линии сети фиксированной телефонной связи 	рублей	5719,27	5382,42	4759,66	3894,04	3661,77	3628,50	3651,85	3624,33	3596,73	3007,36	2978,05	2963,46	3186,56	2678,63		
1.3.19	Услуги местной телефонной связи при абонентской системе оплаты услуг - абонентская плата (за месяц) 	рублей	516,24	549,16	572,76	597,25	607,78	623,94	636,69	641,91	640,75	654,66	658,04	666,17	712,02	646,23		
1.4 Экономическая среда																		
Общее состояние экономики																		
1.4.1	Валовой внутренний продукт в рыночных ценах на душу населения1) 7)	рублей	324 177	420 324	474 991	507 530	539 424	565 362	580 916	621 871	702 628	741 097	728 860	922 264	1 057 766	1 176 687		
1.4.1.1	Валовой региональный продукт на душу населения по субъектам Российской Федерации3) 7)	рублей	263 829	317 388	348 212	376 223	403 993	447 395	502 915	539 955	610 226	642 736	639 170	830 060	958 811			
1.4.2	Индекс физического объёма валового внутреннего продукта, в % к предыдущему году1)	процент	104,5	104,3	104,0	101,8	100,7	98,0	100,2	101,8	102,8	102,2	97,3	105,9	98,8	103,6		
1.4.2.1	Индекс физического объема валового регионального продукта, в % к предыдущему году3)	процент	104,6	105,4	103,1	101,8	101,3	99,4	100,8	101,9	102,8	101,6	97,8	107,3	100,3			
1.4.3	Производство электроэнергии на душу населения 1) 7)	кВт∙ч/чел	7267	7375	7458	7365	7264	7264	7403	7409	7544	7583	7377	7876	7973	8073		
Покупательская способность населения, бюджетной сферы и корпоративных потребителей																		
1.4.4	Доля  расходов на покупку продуктов питания в структуре потребительских расходов домохозяйств	процент	32,9	32,6	31,4	31,2	31,9	35,3	35,5	34,3	33,5	29,7	33,2	32,2	32,9	31,5		
1.4.5	Удельный вес затрат на информационные и коммуникационные технологии (ИКТ),  в  общем объеме отгруженной продукции	процент	1,5	1,5	1,9	2,4	2,0	1,9	…	…	…	…	…	…	…	…	…	…
Доступность финансовых ресурсов																		
1.4.6	Объем инвестиций в основной капитал, направленных на приобретение информационного, компьютерного и телекоммуникационного (ИКТ) оборудования, в фактически действовавших ценах	млн рублей	170255,2	248641,5	293661,4	283415,6	292151,9	304987,7	284667,7	389600,1	484298,0	617770,6	728511,5	756221,5	822668,1	1042111,6		
1.5 Информационная индустрия																		
1.5.1	Удельный вес занятых в секторе ИКТ в общей численности занятого населения 1) 7)	процент	1,7	1,7	1,7	1,7	1,7	1,7	1,7	1,7	1,6	1,7	1,8	1,7	1,7	1,9		
1.6. Информационная безопасность																		
1.6.1	"Степень дифференциации субъектов Российской Федерации по интегральным показателям информационного развития 
до 2016 года"	единиц	…	3,6	2,9	2,8	2,3	4,0	4,2	…	…	…	…	…	…	…	…	…
	"Степень дифференциации субъектов Российской Федерации по интегральным показателям информационного развития 
с 2017 года"		…	…	…	…	…	…	…	1,9	…	…	…	…	…	…	…	…
1.6.2	Доля организаций, использовавших средства защиты информации, передаваемой по глобальным сетям, в общем числе обследованных организаций	процент	70,7	76,8	85,8	86,7	87,7	86,6	87,3	87,2	89,3	89,5	75,3	76,5	75,4	74,6	64,3	
	   из них использовавших:      																	
	 - средства шифрования		35,3	39,8	39,4	39,9	39,3	41,0	42,9	44,3	45,8	44,3	38,6	39,5	39,3	38,8	40,3	
	" - средства электронной 
   подписи"		66,8	73,9	75,2	77,2	76,5	75,3	77,7	77,2	78,9	79,1	68,7	70,1	69,1	91,5		
																		
1.6.3	Доля населения, не пользующегося Интернетом по соображениям безопасности, в общей численности населения	процент	…	…	…	0,2	2,2	0,4	0,5	0,6	0,4	0,5	0,4	0,4	0,3	0,3	0,2	0,2
1.6.4	Доля населения, использовавшего средства (способы) защиты информации в Интернете, в общей численности населения, пользующегося Интернетом	процент	…	…	…	84,7	83,8	85,8	85,3	83,4	83,4	78,5	75,7	72,8	73,1	73,5	77,4	80,2
2.  Использование информационных и коммуникационных технологий (ИКТ) для развития																		
2.1 Электронное правительство																		
"Готовность органов государственной власти (ОГВ) и местного самоуправления (ОМС) к использованию ИКТ для осуществления управленческих 
функций и предоставления государственных услуг"																		
2.1.1	Доля ОГВ и ОМС, использовавших Интернет,  в общем числе обследованных организаций ОГВ И ОМС - всего  	процент	86,8	90,5	93,0	94,6	95,0	94,5	95,5	94,8	95,3	96,3	…	…	…	…	…	…
	из них на скорости 256 Кбит /сек и выше		55,2	64,3	80,0	84,0	85,9	84,5	87,6	88,2	89,9	91,1	…	…	…	…	…	…
	Доля ОГВ и ОМС, использовавших мобильный Интернет,  в общем числе обследованных организаций ОГВ И ОМС - всего  		…	…	…	…	…	…	…	…	…	…	32,8	32,3	32,1	34,2		
	из них на скорости 256 Кбит /сек и выше		…	…	…	…	…	…	…	…	…	…	27,9	27,5	27,5	27,3		
	Доля ОГВ и ОМС, использовавших фиксированный (проводной и беспродной) Интернет,  в общем числе обследованных организаций ОГВ И ОМС - всего  		…	…	…	…	…	…	…	…	…	…	86,9	87,8	85,9	86,7		
	из них на скорости 256 Кбит /сек и выше		…	…	…	…	…	…	…	…	…	…	82,3	83,1	81,5	79,7		
2.1.2	Доля ОГВ и ОМС,  имевших скорость передачи данных через Интернет не менее 2 Мбит/сек,  в общем числе обследованных организаций ОГВ и ОМС  	процент	22,4	24,4	45,7	50,3	51,5	53,1	57,2	60,1	63,9	67,5	87,8	73,9	73,6	72,6	66,4	
Использование ИКТ в деятельности ОГВ и ОМС																		
2.1.3	Доля ОГВ и ОМС, использовавших в отчётном году:	процент																
	" - локальные вычислительные 
   сети (ЛВС)"		72,7	76,7	77,5	80,3	73,8	70,5	70,1	68,6	69,6	69,9	62,5	54,9	60,9	...	…	…
	 - электронную почту		87,4	89,4	91,7	93,4	89,8	89,9	94,2	94,1	94,7	95,8	…	…	…	…	…	…
	 - Интранет		11,8	15,5	13,4	15,2	15,2	17,0	18,1	20,4	23,2	23,6	24,6	31,7	25,1	…	…	…
	 - Экстранет 		4,6	5,7	5,9	7,2	14,1	16,5	14,0	14,8	16,9	17,7	18,2	20,3	19,9	…	…	…
	" - средства электронной
   цифровой подписи "		74,5	83,2	84,4	86,9	85,9	84,9	87,7	87,0	87,4	90,8	81,5	70,1	96,6	82,0		
	" - специальные программные  
   средства для предоставления
   доступа к базам данных
   организации через
   глобальные информационные
   сети, включая Интернет"		29,4	31,5	33,5	35,5	35,9	36,5	36,2	33,6	34,3	35,1	21,6	21,8	28,6	27,2		
	" - системы электронного
   документооборота"		 -	72,7	72,4	74,6	68,6	72,2	76,6	75,5	76,6	79,6	61,2	55,7	65,1	63,9		
	" - автоматический обмен данными
   между своими и внешними
   информационными системами
   по  форматам обмена 
   "		 -	36,9	27,9	30,3	57,5	64,5	68,3	69,4	70,0	73,8	60,9	55,4	61,6	63,4		
2.1.4	Доля размещенных заказов на поставки товаров, выполнение работ и оказание услуг для государственных и муниципальных нужд с использованием электронных торговых площадок, в общем объеме размещаемых заказов:	процент																
																		
	 -  количество торгов		25,0	80,5	92,8	94,2	93,9	…	…	…	…	…	…	…	…	…	…	…
	" - стоимость заключенных 
   контрактов"		14,4	59,3	64,4	63,8	60,5	…	…	…	…	…	…	…	…	…	…	…
